original_name,tiba_name,tiba_slug,category,emporium_id,image_filename,material,origin,dimensions,thickness,description
Creama Marfil,Crema d'Avorio,crema-davorio,Marble,209,Creama_marfil.jpg,Marble,Spain,,,Spain's beloved cream marble with uniform warm colouring and subtle fossil textures. The world's most trusted beige stone for good reason.
Creama Livina,Crema Liviana,crema-liviana,Marble,208,Creama_Livina.jpg,Marble,Turkey,,,A light cream marble with gentle movement and warm undertones. Effortless elegance that complements rather than competes.
Cosmos Beige,Cosmo Beige,cosmo-beige,Marble,207,Cosmos_Beige_etd.jpg,Marble,Turkey,,,A warm beige marble with swirling cosmic patterns in cream and gold. The universe writ small in natural stone.
Botticino,Botticino Classico,botticino-classico,Marble,206,Botticino_edt.jpg,Marble,Italy,,,Italy's iconic warm beige marble with fine cream veining and subtle fossil detail. Timeless warmth used in masterworks for centuries.
Creama Beige,Crema Naturale,crema-naturale,Marble,108,Cream_Beige_edt.jpg,Marble,Turkey,,,A versatile cream-beige marble of consistent warm tone and gentle texture. The foundation stone for harmonious interior palettes.
Noble Beige 2,Nobile Sabbia,nobile-sabbia,Marble,329,IMG_20230612_103659.jpg,Marble,Turkey,± 260 x 195 cm,,A sandy beige marble with refined veining and warm golden undertones. A second noble selection with slightly more pronounced character.
Serpegiantte Dark Grey,Serpeggiante Grigio Scuro,serpeggiante-grigio-scuro,Marble,120,Serpegiantte_Dark_Grey_Marmer.jpg,Marble,Italy,,,A moody dark grey marble with sinuous parallel veining in charcoal and silver. Dramatic linear movement with brooding intensity.
Serpegiantte Light Grey,Serpeggiante Grigio Chiaro,serpeggiante-grigio-chiaro,Marble,121,Serpegiantte_Light_Grey_Marmer.jpg,Marble,Italy,,,A lighter expression of the Serpeggiante family with flowing grey-silver bands. Gentle movement and cool sophistication.
Bardiglio Imperial,Bardiglio Imperiale,bardiglio-imperiale,Marble,18,Bardiglio_imperiale_edt.jpg,Marble,Italy,,,A distinguished medium-grey marble with darker veining from the Carrara region. The aristocrat of grey Italian marbles.
Grigio Carnico,Carnico Tempesta,carnico-tempesta,Marble,344,Grigio_Carnico_1.png,Marble,Italy,,,A dramatic dark grey marble from the Carnic Alps with white and silver veining like lightning through storm clouds. Raw alpine power.
Arabescato Orobico,Orobico Magnifico,orobico-magnifico,Marble,227,Arabescato_orobico_2_edt.jpg,Marble,Italy,,,An extraordinary marble with bold grey arabesques on a dark ground from the Bergamo region. One of Italy's most dramatic natural stones.
Astra Grey,Astra Grigio,astra-grigio,Marble,398,,Marble,Turkey,,± 2cm,A refined grey marble with celestial silver undertones and fine veining. Cool and contemporary with star-touched luminosity.
Grigio Imperiale,Grigio Maestà,grigio-maesta,Marble,115,Grigio_Imperiale_Marmer.jpg,Marble,Turkey,,,A majestic grey marble with darker veining creating depth and dimension. Imperial bearing with modern versatility.
Ocean Storm,Tempesta Marina,tempesta-marina,Marble,396,,Marble,Turkey,+/- 313 x 168cm,± 2cm,A dynamic grey marble with swirling white veins like seafoam in a tempest. The raw power of the ocean frozen in stone.
Classic Grey,Grigio Classico,grigio-classico,Marble,113,Classic_Grey_Marmer.jpg,Marble,Turkey,,,A timeless medium-grey marble with balanced veining and consistent tone. The dependable foundation for sophisticated grey palettes.
Laurent Grey,Laurent Grigio,laurent-grigio,Marble,348,Laurent_Grey.png,Marble,Turkey,,,A refined grey marble with elegant darker veining recalling Parisian limestone. Sophisticated and urbane with continental character.
Grey Emperador,Emperador Cenere,emperador-cenere,Marble,320,Grey_Emperador._2.jpg,Marble,Turkey,,± 2cm,A grey-brown marble with warm undertones from the Emperador family. Where the warmth of brown meets the coolness of grey.
Emperador Grey Dark,Emperador Grigio Profondo,emperador-grigio-profondo,Marble,241,grey_emperador.jpg,Marble,Turkey,"± 2,330 x 1,680 cm",2cm,A deep grey-brown Emperador with rich warm undertones and subtle fossil patterns. Brooding warmth with ancient character.
Symphony Grey,Sinfonia Grigia,sinfonia-grigia,Marble,321,Symphoni_Greu.jpg,Marble,Turkey,± 302 x 188 cm,± 2cm,A harmonious grey marble with flowing veins that move like a musical composition. Where geology becomes symphony.
Tundra Grey,Tundra Grigia,tundra-grigia,Marble,67,Thundra_Grey_Marmer.jpg,Marble,Turkey,,,A cool grey marble with fine linear banding like frozen arctic strata. Clean Nordic aesthetic with natural warmth.
Thundra Grey,Tundra Argento,tundra-argento,Marble,289,thundra_grey.jpg,Marble,Turkey,,,A silver-toned grey marble with delicate banded patterning. Cool Scandinavian minimalism expressed in Turkish stone.
Silver Fox,Volpe Argento,volpe-argento,Marble,122,Silver_Fosil_Marmer.jpg,Marble,Turkey,,,A silver-grey marble with distinctive fossil patterns and warm undertones. Where prehistoric marine life becomes decorative art.
Emperador Grey Light,Emperador Grigio Chiaro,emperador-grigio-chiaro,Marble,20,light_emperador_grey_blok_hs11103..jpg,Marble,Turkey,± 300 x 187 cm,± 2cm,A light grey marble with warm brown undertones from the Emperador lineage. Gentle and approachable with aristocratic pedigree.
Olive Grey,Oliva Grigia,oliva-grigia,Marble,318,Olive_Grey_2.jpg,Marble,Turkey,± 285 x 191 cm,± 2cm,A unique grey marble with olive-green undertones creating an earthy warmth. Natural and organic with understated character.
Fior Di Pesco,Fior di Pesco Carnico,fior-di-pesco-carnico,Marble,265,fior_di_pesco.jpg,Marble,Italy,"± 3,090 x 1,630 cm",± 2cm,A rare Italian marble in dusky pink and grey with dramatic white veining. Among the most coveted decorative stones in the world.
Elegant Grey,Grigio Elegante,grigio-elegante,Marble,319,Elgant_Grey2..jpg,Marble,Turkey,± 294 x 194 cm,± 2cm,"A refined grey marble with sophisticated darker veining and consistent tone. True to its name: elegant, poised, and versatile."
Luxury Grey,Grigio Lusso,grigio-lusso,Marble,302,IMG20220914091033.jpg,Marble,Turkey,"± 2,630 x 1,930 cm",± 2cm,A premium grey marble with rich depth and subtle warm undertones. Luxury made tangible in polished natural stone.
Whyndham Grey,Wyndham Grigio,wyndham-grigio,Marble,268,Wyndham_grey.jpg,Marble,Turkey,,,A distinguished grey marble with flowing veins and warm silver tones. English manor aesthetics in Mediterranean stone.
Fantasi Grey,Fantasia Grigia,fantasia-grigia,Marble,112,FANTASY_GREY_MARMER_1.jpg,Marble,Turkey,"+/- 2,030 x 1,980 cm",2cm,A grey marble alive with imaginative veining patterns in white and charcoal. Where geological fantasy becomes interior reality.
Thundra Grey 2,Tundra Nebbia,tundra-nebbia,Marble,303,thundra_grey_1.jpg,Marble,Turkey,"± 2,950 x 1,480 cm",2cm,A misty variation of the Tundra grey with softer banding and foggy transitions between tones. Arctic serenity in stone form.
Polisandro Grey,Palissandro Grigio,palissandro-grigio,Marble,347,Polisandro_Grey.png,Marble,Italy,,,A grey marble with distinctive linear grain reminiscent of aged timber. Where stone mimics wood in the most elegant fashion.
Hermes Grey,Hermès Cendré,hermes-cendre,Marble,345,Hermes_Grey.png,Marble,Turkey,,,A sophisticated grey marble with the refined aesthetic of a luxury fashion house. Ash-toned with impeccable natural patterning.
Italian Grey,Grigio Toscano,grigio-toscano,Marble,346,Italian_Grey.png,Marble,Italy,,,A classic Italian grey marble with warm undertones and gentle movement. The essence of Tuscan stone craft.
Pietra Serena,Pietra Serena Fiorentina,pietra-serena-fiorentina,Marble,119,Pietra_Serena_Marmer_2.jpg,Marble,Italy,"± 2,900 x 1,540 cm",± 2cm,The legendary blue-grey sandstone of Florence that frames Renaissance masterworks. Brunelleschi's stone brought into contemporary context.
Carlos Grey,Carlo Grigio,carlo-grigio,Marble,68,product-marble-grey-large-10.jpg,Marble,Turkey,1222 x 1000 cm,,A steady medium grey marble with consistent tone and fine movement. Reliable elegance for architectural continuity.
Astana Silver,Astana Argento,astana-argento,Marble,62,product-marble-grey-large-4.jpg,Marble,Turkey,,,A silver-toned grey marble with subtle crystalline sparkle. Cool Central Asian inspired elegance with metropolitan polish.
Romantic Grey,Grigio Romantico,grigio-romantico,Marble,63,Romantic_Grey_edt.jpg,Marble,Turkey,,,A soft grey marble with gentle flowing veins that whisper of tenderness. Where stone becomes poetry.
Oreo Grey,Grigio Biscotto,grigio-biscotto,Marble,65,Oreo_Grey_Marmer_edt.jpg,Marble,Turkey,,,A playful grey marble with contrasting dark and cream layers creating a distinctive banded pattern. Bold graphic appeal with natural charm.
Calacatta Grey,Calacatta Grigio,calacatta-grigio,Marble,110,Calacatta_Grey_Marmer.jpg,Marble,Italy,,,A grey interpretation of the Calacatta lineage with bold white veining on a grey canvas. Dramatic reversal of the classic white Calacatta.
Silver Grey,Argento Vivo,argento-vivo,Marble,66,Silver_Grey_1.jpg,Marble,Turkey,"± 2,280 x 1,540 cm",± 2cm,A luminous silver-grey marble with lively veining that catches the light. Quick silver energy in polished stone.
Rosa Valencia,Rosa di Valencia,rosa-di-valencia,Marble,71,product-marble-red-large-3.jpg,Marble,Spain,,,A warm rose-pink marble from Valencia with coral and salmon undertones. Spanish passion expressed in the gentlest blush of colour.
